Player,Age,Team,Pos,G,MP,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Barry Clemens,23,CHI,SF,60,16.4,3.1,7.4,.419,3.1,7.4,.419,.419,1.1,1.5,.756,3.4,0.7,2.4,7.3,
Clyde Lee,22,SFW,C,74,16.9,2.8,6.8,.408,2.8,6.8,.408,.408,1.4,2.2,.633,7.4,1.0,2.3,7.0,
Jim Barnes,25,LAL,PF,80,17.5,2.7,6.2,.437,2.7,6.2,.437,.437,1.6,2.3,.684,5.6,0.6,3.3,7.0,
Paul Silas,23,STL,PF,77,20.4,2.7,6.3,.429,2.7,6.3,.429,.429,1.5,2.8,.531,8.7,1.0,2.7,6.8,
Bob Love,24,CIN,PF,66,16.3,2.6,6.1,.429,2.6,6.1,.429,.429,1.4,2.2,.633,3.9,0.7,2.3,6.7,
Dave Gambee,29,PHI,SF,63,12.0,2.4,5.5,.435,2.4,5.5,.435,.435,1.7,2.0,.856,3.1,0.7,2.3,6.5,
Bob Ferry,29,BAL,C,51,19.4,2.6,6.2,.419,2.6,6.2,.419,.419,1.4,2.2,.636,5.1,1.8,1.9,6.5,
Gene Tormohlen,29,STL,C,63,16.4,2.7,6.4,.427,2.7,6.4,.427,.427,0.8,1.3,.595,5.5,1.2,2.8,6.3,
K.C. Jones,34,BOS,PG,78,31.4,2.3,5.9,.397,2.3,5.9,.397,.397,1.5,2.4,.630,3.1,5.0,3.5,6.2,
Ben Warley,30,BAL,SF,62,16.7,2.0,5.0,.401,2.0,5.0,.401,.401,2.2,2.7,.788,5.2,0.8,2.8,6.2,
Dick Snyder,22,STL,SG,55,12.3,2.6,6.1,.432,2.6,6.1,.432,.432,0.8,1.1,.754,1.7,1.1,1.5,6.1,
Freddie Crawford,25,NYK,SG,19,10.1,2.3,6.1,.379,2.3,6.1,.379,.379,1.3,2.0,.632,2.5,0.6,2.1,5.9,
Johnny Austin,22,BAL,SG,4,15.3,1.3,5.5,.227,1.3,5.5,.227,.227,3.3,4.0,.813,1.8,1.0,3.0,5.8,
Reggie Harding,24,DET,C,74,18.5,2.3,5.2,.449,2.3,5.2,.449,.449,0.9,1.4,.612,6.1,1.3,2.2,5.5,
Wayne Embry,29,BOS,C,72,10.1,2.0,5.0,.409,2.0,5.0,.409,.409,1.1,2.0,.569,4.1,0.6,1.9,5.2,
Len Chappell,26,2TM,PF,73,9.7,1.8,4.3,.422,1.8,4.3,.422,.422,0.7,1.1,.654,2.6,0.5,1.4,4.3,
Len Chappell,26,CHI,PF,19,9.4,2.1,4.7,.449,2.1,4.7,.449,.449,0.7,1.1,.667,2.0,0.6,1.6,4.9,
Len Chappell,26,CIN,C,54,9.8,1.7,4.1,.411,1.7,4.1,.411,.411,0.7,1.1,.650,2.8,0.4,1.4,4.1,
Walt Wesley,22,CIN,C,64,14.2,2.0,5.2,.393,2.0,5.2,.393,.393,0.8,1.9,.423,5.1,0.3,2.5,4.9,
Freddie Lewis,23,CIN,PG,32,10.4,1.9,4.8,.392,1.9,4.8,.392,.392,0.9,1.3,.707,1.4,1.3,1.5,4.7,
George Wilson,24,2TM,C,55,10.4,1.5,4.3,.363,1.5,4.3,.363,.363,1.1,1.6,.674,3.7,0.3,1.7,4.1,
George Wilson,24,CIN,C,12,10.4,0.7,3.4,.195,0.7,3.4,.195,.195,1.1,1.3,.813,3.6,0.0,1.6,2.4,
George Wilson,24,CHI,C,43,10.4,1.8,4.5,.399,1.8,4.5,.399,.399,1.0,1.6,.643,3.8,0.3,1.7,4.6,
Chico Vaughn,26,DET,SG,51,13.3,1.7,4.4,.376,1.7,4.4,.376,.376,1.0,1.5,.676,1.3,1.5,1.1,4.3,
Bud Olsen,26,SFW,PF,40,8.7,1.9,4.2,.449,1.9,4.2,.449,.449,0.6,1.5,.397,2.6,0.8,1.3,4.3,
Bill Melchionni,22,PHI,PG,73,9.5,1.9,4.8,.391,1.9,4.8,.391,.391,0.5,0.8,.650,1.3,1.3,1.0,4.3,
