,index,Player,Pos,Age,Tm,Height,Weight,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
277,30,Mario Bennett,PF,25,CHI,198.1,106.7,3,0,6.3,0.7,2.0,.333,0.0,0.0,,0.7,2.0,.333,.333,1.0,1.3,.750,0.7,1.0,1.7,0.0,0.3,0.0,0.3,1.3,2.3
278,113,Mario Elie,SG,35,SAS,195.6,95.3,47,37,27.5,3.3,7.0,.471,0.9,2.3,.374,2.5,4.8,.518,.532,2.2,2.5,.866,0.8,2.1,2.9,1.9,1.0,0.3,1.3,1.9,9.7
279,19,Mark Baker,PG,29,TOR,185.4,79.5,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
280,50,Mark Bryant,PF,33,CHI,205.7,111.2,45,29,26.8,3.7,7.7,.483,0.0,0.0,.000,3.7,7.7,.484,.483,1.6,2.4,.645,2.0,3.1,5.2,1.1,0.8,0.4,1.5,3.3,9.0
281,95,Mark Davis,SF,25,MIA,200.7,95.3,4,1,8.8,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,1.3,1.5,.833,0.5,1.3,1.8,0.3,0.3,0.0,1.8,3.0,2.3
282,162,Mark Hendrickson,PF,24,NJN,205.7,99.9,22,6,18.1,1.8,4.0,.443,0.0,0.0,.000,1.8,4.0,.448,.443,1.9,2.3,.840,1.2,1.9,3.1,0.6,0.5,0.0,0.7,1.8,5.5
283,181,Mark Jackson,PG,33,IND,185.4,81.7,49,49,28.2,2.8,6.7,.419,0.7,2.1,.311,2.2,4.6,.469,.468,1.3,1.6,.823,0.7,3.1,3.8,7.9,0.9,0.1,2.0,1.2,7.6
284,227,Mark Macon,SG,29,DET,193.0,84.0,7,3,9.9,0.6,2.9,.200,0.1,0.4,.333,0.4,2.4,.176,.225,0.0,0.0,,0.4,0.3,0.7,0.6,0.7,0.1,0.9,0.9,1.3
285,312,Mark Pope,SF,26,IND,208.3,106.7,4,0,6.5,0.3,1.8,.143,0.0,1.0,.000,0.3,0.8,.333,.143,0.0,0.3,.000,0.5,0.5,1.0,0.0,0.0,0.0,0.3,1.5,0.5
286,376,Mark Strickland,PF,28,MIA,205.7,95.3,32,1,11.2,1.6,3.2,.495,0.0,0.0,.000,1.6,3.1,.500,.495,0.6,0.8,.731,0.8,1.6,2.4,0.3,0.2,0.3,0.4,0.9,3.7
287,410,Mark West,C,38,ATL,208.3,104.4,49,0,10.2,0.4,1.2,.373,0.0,0.0,,0.4,1.2,.373,.373,0.3,0.9,.356,1.0,1.6,2.6,0.3,0.1,0.4,0.3,1.7,1.2
288,254,Marko MiliÄ,SG,21,PHO,None,None,11,0,4.8,0.7,1.8,.400,0.0,0.1,.000,0.7,1.7,.421,.400,0.0,0.0,,0.3,0.2,0.5,0.2,0.3,0.1,0.5,0.6,1.5
289,131,Marlon Garnett,PG,23,BOS,188.0,84.4,24,0,8.5,0.6,2.1,.294,0.3,1.0,.261,0.4,1.2,.321,.353,0.6,0.8,.750,0.1,0.8,0.9,0.8,0.2,0.0,0.5,0.8,2.1
290,77,Marty Conlon,C,31,MIA,208.3,101.7,7,0,5.0,0.4,1.9,.231,0.0,0.0,,0.4,1.9,.231,.231,0.3,0.3,1.000,0.1,0.6,0.7,0.1,0.0,0.1,0.4,0.9,1.1
291,52,Matt Bullard,PF,31,HOU,208.3,97.6,41,0,10.1,1.0,2.8,.377,0.6,1.5,.387,0.5,1.3,.365,.482,0.2,0.2,.700,0.2,0.8,1.0,0.4,0.3,0.1,0.3,0.7,2.9
292,136,Matt Geiger,C,29,PHI,213.4,110.3,50,40,30.8,5.3,11.1,.479,0.0,0.1,.200,5.3,11.0,.482,.480,2.8,3.5,.797,2.7,4.5,7.2,1.2,0.8,0.8,2.0,3.1,13.5
293,153,Matt Harpring,SF,22,ORL,200.7,104.4,50,22,22.3,3.0,6.4,.463,0.2,0.5,.400,2.8,5.9,.468,.478,2.0,2.9,.713,1.8,2.5,4.3,0.9,0.6,0.1,1.5,2.2,8.2
294,231,Matt Maloney,PG,27,HOU,190.5,87.2,15,7,12.4,0.3,1.9,.179,0.1,1.0,.067,0.3,0.9,.308,.196,0.7,0.7,.909,0.1,0.5,0.7,1.4,0.3,0.0,0.9,0.5,1.4
295,382,Maurice Taylor,PF,22,LAC,205.7,120.3,46,45,32.7,6.8,14.7,.461,0.0,0.1,.167,6.7,14.5,.463,.461,3.3,4.5,.728,2.2,3.1,5.3,1.5,0.3,0.6,2.6,3.9,16.8
296,87,Michael Curry,SF,30,MIL,195.6,95.3,50,4,22.9,1.8,4.1,.437,0.0,0.3,.067,1.8,3.8,.466,.439,1.3,1.6,.797,0.4,1.8,2.2,1.6,0.8,0.1,0.7,2.7,4.9
297,103,Michael Dickerson,SG,23,HOU,195.6,86.3,50,50,31.2,4.3,9.2,.465,1.4,3.3,.433,2.9,6.0,.483,.542,0.9,1.4,.639,0.5,1.1,1.7,1.9,0.5,0.2,1.3,1.8,10.9
298,105,Michael Doleac,C,21,ORL,210.8,118.9,49,0,15.9,2.6,5.4,.468,0.0,0.0,,2.6,5.4,.468,.468,1.1,1.6,.675,1.3,1.7,3.0,0.4,0.4,0.3,0.5,2.4,6.2
299,122,Michael Finley,SF,25,DAL,200.7,102.2,50,50,41.0,7.8,17.5,.444,0.9,2.7,.331,6.9,14.8,.465,.470,3.7,4.5,.823,1.4,3.9,5.3,4.4,1.3,0.3,2.1,1.9,20.2
300,158,Michael Hawkins,PG,26,SAC,182.9,80.8,24,0,8.5,0.6,1.7,.350,0.2,0.8,.263,0.4,0.9,.429,.413,0.1,0.1,1.000,0.4,0.6,1.0,1.1,0.1,0.0,0.5,0.6,1.5
301,289,Michael Olowokandi,C,23,LAC,213.4,122.6,45,36,28.4,3.8,8.9,.431,0.0,0.0,,3.8,8.9,.431,.431,1.3,2.6,.483,2.7,5.3,7.9,0.6,0.6,1.2,1.9,3.0,8.9
302,360,Michael Smith,PF,26,VAN,203.2,104.4,210.8,106.7,48,10,22.9,1.6,3.0,.535,0.0,0.0,.000,1.6,3.0,.538,.535,1.6,2.7,.594,2.8,4.5,7.3,1.0,1.0,0.4,1.3
303,370,Michael Stewart,C,23,TOR,208.3,104.4,42,2,9.4,0.5,1.3,.415,0.0,0.0,,0.5,1.3,.415,.415,0.4,0.6,.680,1.0,1.3,2.4,0.1,0.1,0.7,0.3,1.8,1.5
304,426,Micheal Williams,PG,32,TOR,188.0,79.5,2,0,7.5,0.5,2.5,.200,0.0,0.0,,0.5,2.5,.200,.200,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0
305,32,Mike Bibby,PG,20,VAN,188.0,88.5,50,50,35.2,5.2,12.1,.430,0.3,1.5,.203,4.9,10.6,.461,.442,2.5,3.4,.751,0.6,2.1,2.7,6.5,1.6,0.1,2.9,2.4,13.2
306,266,Mikki Moore,C,23,DET,210.8,102.2,2,0,3.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,1.0,1.0,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0
307,353,Miles Simon,SG,23,ORL,190.5,91.7,5,0,3.8,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,0.0,0.0,,0.2,0.2,0.4,0.0,0.2,0.0,0.6,0.2,0.4
308,326,Mitch Richmond,SG,33,WAS,195.6,97.6,50,50,38.2,6.6,16.1,.412,1.4,4.4,.317,5.2,11.6,.448,.456,5.0,5.9,.857,0.6,2.8,3.4,2.4,1.3,0.2,2.7,2.4,19.7
309,55,Mitchell Butler,SG,28,CLE,195.6,95.3,31,1,13.5,2.2,4.5,.482,0.4,0.9,.379,1.8,3.5,.509,.522,0.7,1.0,.719,0.4,1.0,1.4,0.7,0.5,0.1,0.9,1.3,5.4
310,427,Monty Williams,SF,27,DEN,203.2,102.2,1,0,6.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,1.0,2.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
311,280,Moochie Norris,PG,25,SEA,185.4,79.5,12,0,11.7,1.1,3.3,.325,0.5,1.3,.400,0.6,2.1,.280,.400,0.5,1.3,.375,0.3,1.3,1.7,2.0,0.6,0.0,1.3,1.4,3.2
312,34,Mookie Blaylock,PG,31,ATL,185.4,86.3,48,48,36.7,5.1,13.6,.379,1.6,5.2,.307,3.5,8.3,.425,.439,1.4,1.9,.758,0.9,3.7,4.7,5.8,2.1,0.2,2.4,1.3,13.3
313,36,Muggsy Bogues,PG,34,GSW,160.0,61.7,36,5,19.8,2.1,4.3,.494,0.0,0.2,.000,2.1,4.1,.514,.494,0.9,1.0,.861,0.4,1.6,2.0,3.7,1.2,0.0,1.3,1.2,5.1
314,264,Nazr Mohammed,C,21,PHI,208.3,113.5,26,0,4.7,0.6,1.6,.357,0.0,0.0,,0.6,1.6,.357,.357,0.5,0.8,.571,0.7,0.7,1.4,0.1,0.2,0.2,0.5,0.8,1.6
315,208,Negele Knight,PG,31,TOR,185.4,79.5,6,0,9.3,0.5,1.3,.375,0.0,0.2,.000,0.5,1.2,.429,.375,0.3,0.7,.500,0.2,0.8,1.0,1.3,0.2,0.0,1.2,0.8,1.3
316,7,Nick Anderson,SF,31,ORL,198.1,103.5,47,39,33.6,5.4,13.6,.395,2.0,5.9,.347,3.3,7.7,.433,.470,2.1,3.4,.611,1.1,4.8,5.9,1.9,1.4,0.3,1.8,1.5,14.9
317,389,Nick Van Exel,PG,27,DEN,185.4,77.2,50,50,36.0,6.1,15.4,.398,1.4,4.7,.308,4.7,10.7,.437,.445,2.8,3.5,.811,0.3,2.0,2.3,7.4,0.8,0.1,2.4,1.8,16.5
318,311,Olden Polynice,C,34,SEA,210.8,99.9,48,47,30.9,3.5,7.5,.472,0.0,0.0,1.000,3.5,7.4,.471,.473,0.6,2.0,.309,3.8,5.0,8.9,0.9,0.4,0.6,1.0,3.1,7.7
319,257,Oliver Miller,C,28,SAC,205.7,127.1,4,0,8.8,1.3,2.8,.455,0.0,0.0,,1.3,2.8,.455,.455,0.0,0.0,,1.8,0.3,2.0,0.0,0.0,0.5,1.0,0.8,2.5
320,155,Othella Harrington,PF,25,HOU,205.7,106.7,41,10,22.0,3.8,7.4,.513,0.0,0.0,,3.8,7.4,.513,.513,2.1,3.0,.721,1.8,4.2,6.0,0.4,0.1,0.6,1.5,2.5,9.8
321,386,Otis Thorpe,PF,36,WAS,205.7,102.2,49,38,31.4,4.9,9.0,.545,0.0,0.0,.000,4.9,8.9,.548,.545,1.5,2.2,.698,2.0,4.9,6.8,2.1,0.9,0.4,1.8,4.0,11.3
322,46,P.J. Brown,PF,29,MIA,210.8,102.2,50,50,32.2,4.6,9.5,.480,0.0,0.0,,4.6,9.5,.480,.480,2.3,2.9,.774,2.3,4.6,6.9,1.3,0.9,1.0,1.4,3.3,11.4
323,133,Pat Garrity,PF,22,PHO,205.7,108.1,39,9,13.8,2.2,4.4,.500,0.2,0.5,.389,2.0,3.9,.513,.521,1.0,1.4,.714,0.7,1.3,1.9,0.5,0.2,0.1,0.5,1.6,5.6
324,118,Patrick Ewing,C,36,NYK,213.4,109.0,38,38,34.2,6.5,14.9,.435,0.0,0.1,.000,6.5,14.9,.436,.435,4.3,6.1,.706,1.9,8.0,9.9,1.1,0.8,2.6,2.6,2.8,17.3
325,143,Paul Grant,C,25,TOT,213.4,111.2,6,0,2.2,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.0,0.0,,0.2,0.0,0.2,0.0,0.2,0.0,0.3,0.7,0.7
326,308,Paul Pierce,SF,21,BOS,200.7,106.7,48,47,34.0,5.9,13.5,.439,1.8,4.3,.412,4.2,9.2,.451,.504,2.9,4.1,.713,2.4,4.0,6.4,2.4,1.7,1.0,2.4,2.9,16.5
327,373,Peja StojakoviÄ,SF,21,SAC,208.3,104.0,48,1,21.4,2.9,7.8,.378,1.2,3.7,.320,1.8,4.1,.431,.454,1.3,1.5,.851,0.9,2.1,3.0,1.5,0.9,0.1,1.1,0.9,8.4
328,69,Pete Chilcutt,PF,30,VAN,208.3,104.4,46,0,15.2,1.4,3.7,.366,0.6,1.5,.382,0.8,2.3,.356,.442,0.3,0.4,.824,0.6,1.9,2.5,0.7,0.5,0.3,0.6,1.1,3.6
